LAT;;;;;13.5500;13.5500;13.5500;13.5500
LON;;;;;-88.8167;-88.8167;-88.8167;-88.8167
ASL;;;;;481.000;481.000;481.000;481.000
CITY;;;;;India;India;India;India
DOMAIN;;;;;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;-6;-6;-6;-6

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;06;20;01;00;25.44;0.00;6.49;86.82
2019;06;20;02;00;24.99;0.00;6.16;83.29
2019;06;20;03;00;24.63;0.00;5.45;82.41
2019;06;20;04;00;24.87;0.20;4.83;26.57
2019;06;20;05;00;24.30;0.00;7.92;360.00
2019;06;20;06;00;24.37;0.00;7.20;360.00
2019;06;20;07;00;26.11;0.00;11.37;10.95
2019;06;20;08;00;27.53;0.00;12.64;19.98
2019;06;20;09;00;29.01;0.00;11.75;27.35
2019;06;20;10;00;29.93;0.00;8.71;51.71
2019;06;20;11;00;30.56;0.00;7.95;84.81
2019;06;20;12;00;31.18;0.00;10.81;91.91
2019;06;20;13;00;31.59;0.00;12.25;88.32
2019;06;20;14;00;31.74;0.00;11.57;84.64
2019;06;20;15;00;30.05;0.00;10.44;90.00
2019;06;20;16;00;29.34;0.00;6.95;111.25
2019;06;20;17;00;27.40;0.30;6.85;176.99
2019;06;20;18;00;26.34;1.50;8.56;202.25
2019;06;20;19;00;25.77;2.70;6.64;229.40
2019;06;20;20;00;25.49;0.00;5.09;225.00
2019;06;20;21;00;25.08;0.00;4.55;198.43
2019;06;20;22;00;24.74;0.00;4.55;198.43
2019;06;20;23;00;24.77;0.00;2.60;236.31
2019;06;21;00;00;25.09;0.00;2.28;251.57
2019;06;21;01;00;25.46;0.00;2.52;270.00
2019;06;21;02;00;25.60;0.00;2.55;8.13
